AppName;KeyLanguage;Key;ValueLanguage;Value
QnSProjectAward;En;KeyLanguage;De;KeyLanguage
QnSProjectAward;En;LastAccess;De;LastAccess
QnSProjectAward;En;Lastname;De;Lastname
QnSProjectAward;En;LoginTime;De;LoginTime
QnSProjectAward;En;LogoutTime;De;LogoutTime
QnSProjectAward;En;ManyItems;De;ManyItems
QnSProjectAward;En;Name;De;Name
QnSProjectAward;En;OneItem;De;OneItem
QnSProjectAward;En;OptionalInfo;De;OptionalInfo
QnSProjectAward;En;Origin;De;Origin
QnSProjectAward;En;Password;De;Password
QnSProjectAward;En;RoleId;De;RoleId
QnSProjectAward;En;RowVersion;De;RowVersion
QnSProjectAward;En;SessionToken;De;SessionToken
QnSProjectAward;En;State;De;State
QnSProjectAward;En;Subject;De;Subject
QnSProjectAward;En;Time;De;Time
QnSProjectAward;En;TimeOutInMinutes;De;TimeOutInMinutes
QnSProjectAward;En;Token;De;Token
QnSProjectAward;En;Value;De;Value
QnSProjectAward;En;ValueLanguage;De;ValueLanguage
QnSProjectAward;En;LoginMenu.Access-Authorization;De;Access-Authorization
QnSProjectAward;En;LoginMenu.Identity-User;De;Identity-User
QnSProjectAward;En;LoginMenu.Role-Management;De;Role-Management
QnSProjectAward;En;LoginMenu.Change password;De;Change password
QnSProjectAward;En;LoginMenu.Reset password;De;Reset password
QnSProjectAward;En;LoginMenu.Translation;De;Translation
QnSProjectAward;En;LoginMenu.Settings;De;Settings
QnSProjectAward;En;LoginMenu.Logout;De;Logout
QnSProjectAward;En;ActionLog.TitelDetails;De;TitelDetails
QnSProjectAward;En;ActionLog.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;ActionLog.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;AppAccess.TitelDetails;De;TitelDetails
QnSProjectAward;En;AppAccess.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;AppAccess.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;BinaryData.TitelDetails;De;TitelDetails
QnSProjectAward;En;BinaryData.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;BinaryData.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Identity.TitelDetails;De;TitelDetails
QnSProjectAward;En;Identity.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Identity.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;IdentityUser.TitelDetails;De;TitelDetails
QnSProjectAward;En;IdentityUser.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;IdentityUser.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;IdentityXRole.TitelDetails;De;TitelDetails
QnSProjectAward;En;IdentityXRole.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;IdentityXRole.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;JsonWebLogon.TitelDetails;De;TitelDetails
QnSProjectAward;En;JsonWebLogon.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;JsonWebLogon.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;LoginSession.TitelDetails;De;TitelDetails
QnSProjectAward;En;LoginSession.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;LoginSession.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Logon.TitelDetails;De;TitelDetails
QnSProjectAward;En;Logon.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Logon.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Role.TitelDetails;De;TitelDetails
QnSProjectAward;En;Role.TitleEditModel;De;TitleEditModel
QnSProjectAward;En;Role.TitleConfirmDelete;De;TitleConfirmDelete
QnSProjectAward;En;Setting.TitelDetails;De;TitelDetails
QnSProjectAward;En;Setting.TitleEditModel;De;TitleEditModel
